COMID,min,max,mean,median
71025219,0,26.4000244140625,3.46698641777039,2.800032988833
71031397,0,739.60009765625,150.37629699707,110.24820680554
71025201,0,54.8999633789062,5.24142408370972,3.100001827471
71037433,0,843,157.248687744141,120.589423801676
71031359,0,1518.69995117188,243.054565429688,142.141152721385
71037400,0,301.300048828125,47.3731536865234,28.8291443121681
71025142,0,37.0999755859375,5.6485743522644,4.29886085399873
71025125,0,29.1000366210938,3.71081781387329,2.52670151891211
71031303,0,95.9000244140625,17.2374668121338,14.7709300933477
71031296,0,866.800170898438,181.603103637695,141.441821053604
71031279,0,410.800048828125,38.8296089172363,23.3400660101142
71031276,0,52.4000244140625,9.08839702606201,8.0999769470392
71025086,0,76.7999877929688,6.38394498825073,3.40001529531111
71037334,0,853.800048828125,107.330413818359,78.996884766438
71031267,0,99.800048828125,21.2889461517334,11.5910930832634
71037321,0,577.800170898438,74.7650375366211,48.0260250209815
71025052,0,29.7999877929688,4.27603101730347,2.93140972101007
71025044,0,31.7999877929688,4.45385026931763,3.27541339450186
71025043,0,33.3999633789062,5.09419822692871,3.52449618252919
71031215,0,103.199951171875,10.0866327285767,7.69995483985314
71024996,0,79.9000244140625,10.305118560791,4.50248924984736
71037254,0,556.900024414062,131.933868408203,110.845256394978
71031181,0,244.199951171875,41.5067176818848,26.3846842256991
71031177,0,1091.09997558594,213.571929931641,152.459330892475
71031155,0,126.200073242188,9.11097049713135,4.5999925545451
71037229,0,277.800048828125,47.0763473510742,33.5840728170455
71031130,0,185.39990234375,26.4131088256836,21.7467364390238
71031120,0,1114.20007324219,180.412826538086,129.037504050969
71037191,0,897.200073242188,131.956588745117,87.2999707480734
71031094,0,835.400146484375,160.8544921875,117.881911678405
71031077,0,651.000122070312,46.1259613037109,27.7311328200396
71031068,0,232.5,36.4523887634277,22.1000298102043
71024862,0,60.2999877929688,7.7813982963562,5.10001484556523
71024843,0,43.7000122070312,3.82830739021301,2.69999756344262
71024795,0,28,3.65843176841736,2.93377179863793
71037075,0,695.5,94.3192596435547,73.9663033843073
71037058,0,495.700073242188,113.634460449219,89.4573018831972
71030950,0,1059.90002441406,173.307357788086,112.149582881927
71030944,0,922.499877929688,158.947250366211,117.58876623927
71024720,0,24.2000122070312,4.18356275558472,2.61611618887491
71030906,0,229.400024414062,28.3024673461914,14.1000131404932
71030896,0,688.300048828125,134.694747924805,104.816262374078
71030838,0,1223.19995117188,224.489761352539,162.563970382753
71030835,0,910.099975585938,158.035247802734,103.957640119024
71030831,0,384.099975585938,57.0092544555664,27.6000893471597
71024619,0,44.10009765625,7.92892360687256,5.2197333236047
71024598,0,22.0999755859375,2.83780169487,2.15402376876629
71030784,0,690.800048828125,127.755638122559,96.809723884879
71024578,0,22.2000122070312,4.35835027694702,3.41493789925783
71030774,0,1033.5,189.693069458008,143.400125620656
71030749,0,80.9000244140625,11.2383108139038,7.39994606532888
71030717,0,1126.90014648438,201.28727722168,151.117574925992
71030716,0,211.799926757812,20.2316417694092,13.954069124564
71030703,0,238.699951171875,22.7062702178955,17.4309685816413
71030690,0,1034.59997558594,190.379898071289,130.132801576641
71024488,0,79.0999755859375,10.265251159668,7.02820682071062
71024483,0,43.7999877929688,7.27467155456543,5.60000503842107
71024474,0,77.199951171875,14.1239910125732,10.8999270505981
71030660,0,488.700073242188,66.7200622558594,37.6000399536914
71024448,0,56.4999389648438,10.01806640625,6.96390813746226
71030626,0,896.200073242188,201.520233154297,171.019192525216
71030588,0,307.699951171875,29.3385238647461,21.6999881296285
71024386,0,58.2999877929688,7.92138576507568,4.29958789062896
71030563,0,1034.19995117188,167.187591552734,108.89998113334
71030527,0,818.300048828125,207.295257568359,169.312048704403
71030474,0,1029.79992675781,202.207366943359,142.399926509563
71024292,0,76.6000366210938,8.55190277099609,4.7731352814775
71030460,0,546.699951171875,106.512901306152,84.0785356001667
71030431,0,1153.80004882812,200.908660888672,144.388045121695
71030428,0,191.400024414062,29.1674919128418,18.4620861130591
71024229,0,44.2000122070312,9.20356750488281,6.09042357160055
71030418,0,1109.40002441406,242.530731201172,179.065127645808
71024198,0,19.0999755859375,2.69716739654541,2.05028529316072
71030390,0,1158.5,187.651107788086,82.6389601167429
71024128,0,115.600036621094,13.9522066116333,8.79999384065289
71030314,0,116.800048828125,28.2519836425781,20.9419180419486
71030313,0,90.5999755859375,24.6471614837646,18.3000196719258
71030308,0,927.999877929688,168.739959716797,110.566845655457
71030302,0,1135.90014648438,210.35009765625,154.605173577639
71024082,0,128.299987792969,44.0771026611328,32.0064724398316
